11 0.189130 0.105706
26 0.382133 -0.042009
65 0.305893 0.129322
83 0.450662 0.211610
150 0.561668 0.160999
201 0.599778 0.116331
230 0.059093 -0.082750
265 0.333754 -0.005878
285 0.101559 0.055927
301 0.163813 0.007703
326 0.071371 -0.108452
361 0.526554 0.177402
400 0.219654 -0.050957
448 0.074055 -0.017627
474 0.046571 -0.036525
523 0.521943 0.165439
604 0.056414 -0.010915
666 0.741275 0.276612
703 -0.002428 -0.139002
757 0.731282 0.142553
802 0.414485 0.020274
840 -0.019496 -0.111007
870 0.204988 -0.003856
901 0.300057 0.093209
941 0.190150 -0.121326
990 0.617431 0.213562
1057 0.527298 0.143830
1109 0.048281 -0.012426
1130 0.061379 -0.048725
1191 0.409610 0.185172
1225 0.148290 -0.049443
1270 0.279151 0.073804
1294 0.412872 0.089700
1321 -0.068502 -0.141574
1373 0.318456 0.062016
1418 0.607274 0.127530
1471 0.025796 -0.027369
1489 0.051058 0.015996
1521 0.001594 -0.010638
1537 0.004499 -0.012210
1571 0.054744 0.017336
1604 -0.002157 -0.019621
1643 0.069324 0.022023
1695 0.047921 -0.001251
1727 0.029949 0.008327
1772 0.053087 0.006002
1840 0.366816 0.091020
1869 0.289229 -0.009952
1929 0.625704 0.168514
1975 0.233846 -0.087670
2013 0.537699 0.105130
2051 0.196962 -0.109608
2109 0.650787 0.244027
2159 0.285786 -0.088226
2215 0.418996 0.168215
2261 0.198317 -0.057726
2293 0.521586 0.093994
2342 0.429491 0.062874
2399 0.531814 0.145082
2451 0.011981 -0.057671
2491 0.035245 0.011600
2560 0.057125 0.000824
2595 0.000495 -0.020487
2628 0.071119 0.016411
2666 0.038387 -0.002634
2695 0.006038 -0.012231
2725 0.018724 -0.019056
2775 0.232618 -0.001435
2819 0.338639 0.043764
2868 0.440580 0.012975
2905 0.536951 0.084085
2973 0.610341 0.311292
3005 -0.058422 -0.138092
3036 0.028659 -0.043363
3103 0.333797 0.081555
3136 -0.081308 -0.078345
3182 0.120089 0.037612
3241 0.442876 0.165052
3293 0.398344 0.066144
3378 0.601851 0.265129
3442 0.419629 0.054958
3483 0.179466 -0.047471
3520 0.407094 0.103148
3580 0.073857 0.019492
3630 0.034664 -0.000471
3675 0.041529 0.015313
3719 -0.005273 -0.018919
3749 0.041810 0.003543
3787 0.031260 -0.001947
3814 0.008250 -0.010131
3847 0.064641 0.022099
3902 0.045170 -0.021471
3953 0.284269 0.070524
4006 0.062051 0.007582
4062 0.097699 0.025112
4112 0.014776 -0.014784
4137 0.026370 -0.000283
4167 0.068221 -0.022969
4225 0.621787 0.196363
4268 0.062601 -0.071381
4325 0.431416 0.027664
4367 0.582404 0.166932
4417 -0.067006 -0.147803
4467 0.649261 0.217539
4546 0.545628 0.191651
4606 0.431804 0.068227
4647 0.640375 0.153726
4701 0.555787 0.030195
4734 0.269002 -0.068696
4781 0.673535 0.171324
4853 0.388900 0.116553
4900 0.312240 0.029972
4950 0.044472 -0.009587
4994 0.032821 0.002952
5020 0.022376 -0.003298
5053 0.025211 0.005019
5087 0.023551 0.005132
5175 0.494031 0.275423
5232 -0.009138 -0.106957
5262 0.301133 0.045560
5305 0.119542 -0.023476
5320 0.065037 0.038870
5342 0.476279 0.110618
5390 -0.152889 -0.160891
5430 0.617303 0.173450
5480 -0.028587 -0.111518
5511 0.307753 0.093949
5529 0.320391 0.112536
5574 0.375598 0.078197
5634 0.345432 0.011036
5699 0.609172 0.206945
5757 0.439688 0.166136
5777 0.340665 0.151724
5837 0.041268 0.002348
5862 0.029868 0.008434
5880 0.033253 -0.003240
5940 0.415916 0.109183
5985 0.225488 -0.056189
6033 0.448138 0.129332
6109 0.547126 0.277664
6163 0.254249 -0.018578
6211 -0.013115 -0.035184
6243 0.062457 0.013989
6308 0.014306 0.006386
6325 0.029453 0.000279
6353 -0.011167 -0.022393
6393 0.111379 0.035754
6425 -0.006915 -0.040372
6466 0.036254 -0.013925
6518 0.409493 0.097374
6553 -0.025686 -0.065479
6588 0.097052 -0.012502
6638 0.362478 0.073190
6690 0.024920 -0.042645
6741 0.480766 0.099955
6818 0.409048 0.138376
6884 0.020258 -0.001630
6916 0.050684 0.015250
6960 0.028686 -0.003523
7021 0.089629 -0.004097
7059 0.072522 -0.032946
7094 0.375757 0.127062
7164 0.453443 0.149008
7226 0.577004 0.162768
7267 -0.061984 -0.118838
7293 0.392132 0.080419
7349 0.076502 -0.015137
7382 0.113565 -0.011544
7410 0.027382 -0.032689
7452 0.579003 0.157093
7513 0.084156 -0.043194
7570 0.316069 0.081032
7632 0.129892 0.000676
7683 0.438018 0.074792
7701 0.043145 0.051406
7715 0.077720 -0.000008
7737 0.180983 -0.044932
7774 0.597635 0.044556
7801 0.344880 -0.048514
